Date,LR-AWD
01/01/19,"$51,000"
03/15/19,"$51,000"
03/31/19,"$51,000"
04/01/19,"$52,000"
01/28/20,"$52,000"
01/29/20,"$52,990"
07/10/20,"$52,990"
07/11/20,"$49,990"
01/07/21,"$49,990"
02/16/21,"$49,990"
02/17/21,"$49,990"
02/20/21,"$49,990"
02/21/21,"$48,990"
03/10/21,"$48,990"
03/11/21,"$49,900"
04/02/21,"$49,900"
04/07/21,"$49,900"
04/08/21,"$50,490"
04/21/21,"$50,490"
04/22/21,"$50,990"
05/05/21,"$50,990"
05/06/21,"$51,490"
05/20/21,"$51,490"
05/21/21,"$51,990"
06/08/21,"$51,990"
06/09/21,"$52,490"
06/24/21,"$52,490"
06/25/21,"$52,990"
07/21/21,"$52,990"
07/22/21,"$53,990"
10/04/21,"$53,990"
10/05/21,"$54,990"
10/21/21,"$54,990"
10/22/21,"$56,990"
11/03/21,"$56,990"
11/04/21,"$57,990"
11/10/21,"$57,990"
11/11/21,"$58,990"
03/08/22,"$58,990"
03/09/22,"$59,990"
03/13/22,"$59,990"
03/14/22,"$62,990"
04/09/22,"$62,990"
06/14/22,"$62,990"
06/15/22,"$65,990"
08/20/22,"$65,990"
08/21/22,"$65,990"
12/01/22,"$65,990"
12/22/22,"$65,990"
01/11/23,"$65,990"
01/12/23,"$52,990"
01/22/23,"$52,990"
01/23/23,"$53,490"
02/02/23,"$53,490"
02/03/23,"$54,990"
02/09/23,"$54,990"
02/10/23,"$54,990"
02/11/23,"$54,990"
02/12/23,"$54,990"
04/05/23,"$54,990"
04/06/23,"$52,990"
04/17/23,"$52,990"
04/18/23,"$49,990"
04/28/23,"$49,990"
04/30/23,"$49,990"
05/01/23,"$50,240"
05/10/23,"$50,240"
05/11/23,"$50,490"
05/31/23,"$50,490"
06/12/23,"$50,490"
06/13/23,"$50,490"
06/13/23,"$50,490"
07/07/23,"$50,490"
09/13/23,"$50,490"
09/14/23,"$50,490"
10/02/23,"$50,490"
10/04/23,"$50,490"
10/05/23,"$48,490"
10/25/23,"$48,490"
10/26/23,"$48,990"
10/31/23,"$48,990"
02/05/24,"$48,990"